City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Port Elizabeth,ZA,2022-07-18 13:09:52,-33.918,25.5701,69.1,84,75,11.5
166,Shemysheyka,RU,2022-07-18 13:10:53,52.892,45.3928,70.7,81,83,14.65
167,Pringsewu,ID,2022-07-18 13:10:15,-5.3582,104.9744,74.8,96,7,1.68
168,Dharmanagar,IN,2022-07-18 13:07:07,24.3667,92.1667,78.42,95,100,4.52
169,Sao Gotardo,BR,2022-07-18 13:10:54,-19.3111,-46.0489,72.63,41,0,9.31
170,Erbaa,TR,2022-07-18 13:10:55,40.6689,36.5675,75.29,78,95,6.58
171,Biabou,VC,2022-07-18 13:10:55,13.2,-61.1333,80.71,78,100,15.32
172,Codrington,AU,2022-07-18 13:02:47,-38.2667,141.9667,48.13,67,100,6.64
173,Yaan,NG,2022-07-18 13:10:56,7.3833,8.5667,86.81,52,70,5.55
174,Saint Marys,US,2022-07-18 13:10:00,30.7305,-81.5465,82.51,90,0,8.05
175,Tongchuan,CN,2022-07-18 13:10:57,35.0806,109.0897,74.84,46,83,3.44
176,Ouesso,CG,2022-07-18 13:11:58,1.6136,16.0517,72.7,95,100,4.07
177,Husavik,IS,2022-07-18 13:10:41,66.0449,-17.3389,52.57,72,72,8.34
178,Turayf,SA,2022-07-18 13:11:58,31.6725,38.6637,100.31,12,42,8.34
179,Teya,RU,2022-07-18 13:11:59,60.3778,92.6267,56.59,96,100,8.84
180,Bay Roberts,CA,2022-07-18 13:11:59,47.5999,-53.2648,74.05,67,5,8.99
181,Coquimbo,CL,2022-07-18 13:12:00,-29.9533,-71.3436,51.53,66,0,0.0
182,Mier,MX,2022-07-18 13:12:00,26.4333,-99.15,79.03,76,53,10.31
183,Buraydah,SA,2022-07-18 13:11:42,26.326,43.975,109.65,6,93,8.9
184,Fougamou,GA,2022-07-18 13:12:01,-1.2154,10.5838,91.53,40,61,4.43
185,Bouna,CI,2022-07-18 13:12:01,9.2667,-3.0,78.96,67,99,8.95
186,Kybartai,LT,2022-07-18 13:12:02,54.6386,22.7632,59.76,93,100,11.63
187,Puerto Ayora,EC,2022-07-18 12:59:49,-0.7393,-90.3518,67.55,96,97,3.0
188,Saldanha,ZA,2022-07-18 13:12:03,-33.0117,17.9442,59.29,84,88,12.44
189,Edgewater,US,2022-07-18 13:12:03,28.9889,-80.9023,82.11,80,14,7.45
190,Kamaishi,JP,2022-07-18 13:12:04,39.2667,141.8833,72.48,87,88,4.59
191,Vardo,NO,2022-07-18 13:02:45,70.3705,31.1107,60.78,77,20,6.91
192,Margate,GB,2022-07-18 13:12:04,51.3813,1.3862,92.1,44,20,9.75
193,Nanortalik,GL,2022-07-18 13:12:05,60.1432,-45.2371,45.64,81,56,8.46
194,Udachnyy,RU,2022-07-18 13:12:05,66.4167,112.4,53.46,93,100,6.4
195,Salinopolis,BR,2022-07-18 13:12:06,-0.6136,-47.3561,82.06,75,97,11.43
196,Vanimo,PG,2022-07-18 13:12:06,-2.6741,141.3028,78.1,85,100,2.57
197,Baker City,US,2022-07-18 13:09:18,44.7749,-117.8344,51.6,69,0,5.75
198,Iqaluit,CA,2022-07-18 13:01:22,63.7506,-68.5145,40.69,86,100,3.31
